PCTNAME	MCDNAME	COUNTYNAME	TOTVOTING	USPRSR	USPRSDFL	USPRSTOTAL	pct_usprsr_2012	pct_usprsd_2012	victory_margin_2012
COON RAPIDS W-2 P-5	Coon Rapids	Anoka	1403	572	786	1394	41.03	56.38	-15
COON RAPIDS W-3 P-1	Coon Rapids	Anoka	1566	683	835	1557	43.87	53.63	-10
COON RAPIDS W-3 P-2	Coon Rapids	Anoka	1605	778	777	1599	48.66	48.59	0
COON RAPIDS W-3 P-3	Coon Rapids	Anoka	1512	658	796	1507	43.66	52.82	-9
COON RAPIDS W-3 P-4	Coon Rapids	Anoka	1501	596	839	1486	40.11	56.46	-16
COON RAPIDS W-4 P-1	Coon Rapids	Anoka	1618	759	819	1613	47.06	50.77	-4
COON RAPIDS W-4 P-2	Coon Rapids	Anoka	1622	747	831	1617	46.2	51.39	-5
COON RAPIDS W-4 P-3	Coon Rapids	Anoka	1471	638	801	1468	43.46	54.56	-11
COON RAPIDS W-4 P-4	Coon Rapids	Anoka	2175	996	1130	2173	45.84	52	-6
COON RAPIDS W-5 P-1	Coon Rapids	Anoka	1627	706	863	1619	43.61	53.3	-10
COON RAPIDS W-5 P-2	Coon Rapids	Anoka	1859	822	975	1855	44.31	52.56	-8
COON RAPIDS W-5 P-3	Coon Rapids	Anoka	1114	472	613	1111	42.48	55.18	-13
COON RAPIDS W-5 P-4	Coon Rapids	Anoka	813	331	457	809	40.91	56.49	-16
COON RAPIDS W-5 P-5	Coon Rapids	Anoka	1461	651	765	1453	44.8	52.65	-8
EAST BETHEL P-1	East Bethel	Anoka	2087	1215	815	2081	58.39	39.16	19
EAST BETHEL P-2	East Bethel	Anoka	2208	1222	922	2202	55.5	41.87	14
EAST BETHEL P-3	East Bethel	Anoka	1964	1159	760	1959	59.16	38.8	20
FRIDLEY W-1 P-1	Fridley	Anoka	1246	513	705	1244	41.24	56.67	-15
FRIDLEY W-1 P-2	Fridley	Anoka	1228	510	682	1226	41.6	55.63	-14
FRIDLEY W-1 P-3	Fridley	Anoka	1327	433	858	1318	32.85	65.1	-32
FRIDLEY W-1 P-4	Fridley	Anoka	1116	384	712	1113	34.5	63.97	-29
FRIDLEY W-2 P-1	Fridley	Anoka	1035	372	635	1034	35.98	61.41	-25
FRIDLEY W-2 P-2	Fridley	Anoka	972	307	636	968	31.71	65.7	-34
FRIDLEY W-2 P-3	Fridley	Anoka	1474	565	867	1471	38.41	58.94	-21
FRIDLEY W-2 P-4	Fridley	Anoka	1425	535	851	1418	37.73	60.01	-22
FRIDLEY W-3 P-1	Fridley	Anoka	1190	423	725	1187	35.64	61.08	-25
FRIDLEY W-3 P-2	Fridley	Anoka	1518	599	875	1516	39.51	57.72	-18
FRIDLEY W-3 P-3	Fridley	Anoka	853	246	580	850	28.94	68.24	-39
FRIDLEY W-3 P-4	Fridley	Anoka	972	318	622	969	32.82	64.19	-31
HAM LAKE P-1	Ham Lake	Anoka	1221	699	490	1218	57.39	40.23	17
HAM LAKE P-2	Ham Lake	Anoka	1916	1166	709	1916	60.86	37	24
HAM LAKE P-3A	Ham Lake	Anoka	1726	1037	646	1723	60.19	37.49	23
HAM LAKE P-4A	Ham Lake	Anoka	1523	922	562	1516	60.82	37.07	24
HAM LAKE P-5	Ham Lake	Anoka	1224	808	399	1223	66.07	32.62	33
HAM LAKE P-6A	Ham Lake	Anoka	1494	919	538	1487	61.8	36.18	26
HILLTOP P-1	Hilltop	Anoka	283	65	200	281	23.13	71.17	-48
LEXINGTON P-1	Lexington	Anoka	999	444	507	995	44.62	50.95	-6
LINO LAKES P-1	Lino Lakes	Anoka	1197	637	522	1192	53.44	43.79	10
LINO LAKES P-2	Lino Lakes	Anoka	1814	974	792	1807	53.9	43.83	10
LINO LAKES P-3	Lino Lakes	Anoka	1466	766	667	1464	52.32	45.56	7
LINO LAKES P-4	Lino Lakes	Anoka	2133	1257	829	2128	59.07	38.96	20
LINO LAKES P-5	Lino Lakes	Anoka	1160	589	544	1157	50.91	47.02	4
LINO LAKES P-6	Lino Lakes	Anoka	1812	1092	688	1808	60.4	38.05	22
LINO LAKES P-7	Lino Lakes	Anoka	1964	1146	786	1960	58.47	40.1	18
LINWOOD P-1	Linwood Twp	Anoka	3067	1742	1229	3051	57.1	40.28	17
NOWTHEN P-1A	Nowthen	Anoka	1738	1130	565	1732	65.24	32.62	33
NOWTHEN P-2A	Nowthen	Anoka	912	622	276	909	68.43	30.36	38
OAK GROVE P-1	Oak Grove	Anoka	1423	836	558	1418	58.96	39.35	20
OAK GROVE P-2	Oak Grove	Anoka	1344	868	441	1342	64.68	32.86	32
OAK GROVE P-3	Oak Grove	Anoka	1275	769	465	1272	60.46	36.56	24
OAK GROVE P-4	Oak Grove	Anoka	839	504	314	837	60.22	37.51	23
RAMSEY W-1 P-1	Ramsey	Anoka	2721	1543	1118	2711	56.92	41.24	16
RAMSEY W-1 P-2	Ramsey	Anoka	783	467	305	782	59.72	39	21
RAMSEY W-2 P-1	Ramsey	Anoka	1430	909	487	1428	63.66	34.1	30
RAMSEY W-2 P-2	Ramsey	Anoka	2233	1269	888	2227	56.98	39.87	17
RAMSEY W-3 P-1	Ramsey	Anoka	2040	1124	865	2034	55.26	42.53	13
RAMSEY W-3 P-2	Ramsey	Anoka	1070	551	483	1068	51.59	45.22	6
RAMSEY W-4 P-1	Ramsey	Anoka	1654	884	726	1652	53.51	43.95	10
RAMSEY W-4 P-2	Ramsey	Anoka	1655	934	674	1649	56.64	40.87	16
SAINT FRANCIS P-1	St. Francis	Anoka	2093	1239	805	2089	59.31	38.54	21
SAINT FRANCIS P-2	St. Francis	Anoka	1580	975	563	1571	62.06	35.84	26
SPRING LAKE PARK P-1A	Spring Lake Park	Anoka	901	419	450	898	46.66	50.11	-3
SPRING LAKE PARK P-2	Spring Lake Park	Anoka	1091	464	590	1089	42.61	54.18	-12
SPRING LAKE PARK P-3	Spring Lake Park	Anoka	1591	686	867	1585	43.28	54.7	-11
ATLANTA TWP	Atlanta Twp	Becker	40	19	14	36	52.78	38.89	14
AUDUBON	Audubon	Becker	237	144	87	233	61.8	37.34	24
AUDUBON TWP	Audubon Twp	Becker	308	172	124	307	56.03	40.39	16
BURLINGTON TWP	Burlington Twp	Becker	813	482	302	810	59.51	37.28	22
CALLAWAY	Callaway	Becker	78	31	46	78	39.74	58.97	-19
CALLAWAY TWP	Callaway Twp	Becker	121	65	54	120	54.17	45	9
CARSONVILLE TWP	Carsonville Twp	Becker	129	62	58	128	48.44	45.31	3
CORMORANT TWP	Cormorant Twp	Becker	681	390	275	676	57.69	40.68	17
CUBA TWP	Cuba Twp	Becker	144	78	63	143	54.55	44.06	10
DETROIT TWP P-1	Detroit Twp	Becker	616	358	243	612	58.5	39.71	19
DETROIT TWP P-2	Detroit Twp	Becker	505	334	163	505	66.14	32.28	34
DETROIT TWP P-3	Detroit Twp	Becker	0	0	0	0			
DETROIT LAKES W1 P1	Detroit Lakes	Becker	1167	619	518	1166	53.09	44.43	9
DETROIT LAKES W2 P1	Detroit Lakes	Becker	1476	735	691	1464	50.2	47.2	3
DETROIT LAKES W3 P1	Detroit Lakes	Becker	1561	907	626	1555	58.33	40.26	18
EAGLE VIEW TWP	Eagle View Twp	Becker	87	32	54	87	36.78	62.07	-25
ERIE TWP	Erie Twp	Becker	960	556	390	956	58.16	40.79	17
EVERGREEN TWP	Evergreen Twp	Becker	135	83	47	133	62.41	35.34	27
FOREST TWP	Forest Twp	Becker	84	51	31	83	61.45	37.35	24
FRAZEE	Frazee	Becker	505	278	195	494	56.28	39.47	17
GREEN VALLEY TWP	Green Valley Twp	Becker	159	84	70	157	53.5	44.59	9
HAMDEN TWP	Hamden Twp	Becker	108	60	45	106	56.6	42.45	14
HEIGHT OF LAND TWP	Height Of Land Twp	Becker	351	214	126	347	61.67	36.31	25
HOLMESVILLE TWP	Holmesville Twp	Becker	329	202	118	327	61.77	36.09	26
LAKE EUNICE TWP	Lake Eunice Twp	Becker	887	507	359	885	57.29	40.56	17
LAKE PARK	Lake Park	Becker	334	146	180	333	43.84	54.05	-10
LAKE PARK TWP	Lake Park Twp	Becker	271	156	112	271	57.56	41.33	16
LAKE VIEW TWP	Lake View Twp	Becker	1011	592	398	1009	58.67	39.44	19
MAPLE GROVE TWP	Maple Grove Twp	Becker	190	65	121	190	34.21	63.68	-29
OGEMA	Ogema	Becker	53	30	23	53	56.6	43.4	13
OSAGE TWP	Osage Twp	Becker	464	277	181	464	59.7	39.01	21
PINE POINT TWP	Pine Point Twp	Becker	98	25	72	98	25.51	73.47	-48
RICEVILLE TWP	Riceville Twp	Becker	48	30	15	48	62.5	31.25	31
RICHWOOD TWP	Richwood Twp	Becker	339	189	140	337	56.08	41.54	15
ROUND LAKE TWP	Round Lake Twp	Becker	88	39	46	87	44.83	52.87	-8
RUNEBERG TWP	Runeberg Twp	Becker	222	153	65	222	68.92	29.28	40
SAVANNAH TWP	Savannah Twp	Becker	112	68	39	112	60.71	34.82	26
SHELL LAKE TWP	Shell Lake Twp	Becker	167	81	74	166	48.8	44.58	4
SILVER LEAF TWP	Silver Leaf Twp	Becker	242	136	95	242	56.2	39.26	17
SPRING CREEK TWP	Spring Creek Twp	Becker	43	30	13	43	69.77	30.23	40
SPRUCE GROVE TWP	Spruce Grove Twp	Becker	188	125	58	186	67.2	31.18	36
SUGAR BUSH TWP	Sugar Bush Twp	Becker	244	99	139	242	40.91	57.44	-17
TOAD LAKE TWP	Toad Lake Twp	Becker	291	189	95	290	65.17	32.76	32
TWO INLETS TWP	Two Inlets Twp	Becker	143	99	41	141	70.21	29.08	41
WALWORTH TWP	Walworth Twp	Becker	50	22	28	50	44	56	-12
WHITE EARTH TWP	White Earth Twp	Becker	244	79	160	244	32.38	65.57	-33
WOLF LAKE	Wolf Lake	Becker	38	29	9	38	76.32	23.68	53
WOLF LAKE TWP	Wolf Lake Twp	Becker	110	82	26	108	75.93	24.07	52
ALASKA TWP	Alaska Twp	Beltrami	114	37	73	112	33.04	65.18	-32
BATTLE TWP	Battle Twp	Beltrami	14	9	5	14	64.29	35.71	29
BEMIDJI TWP	Bemidji Twp	Beltrami	1449	743	647	1441	51.56	44.9	7
BEMIDJI W-1	Bemidji	Beltrami	1324	472	761	1313	35.95	57.96	-22
BEMIDJI W-2	Bemidji	Beltrami	1091	436	613	1076	40.52	56.97	-16
BEMIDJI W-3	Bemidji	Beltrami	1449	627	764	1440	43.54	53.06	-10
BEMIDJI W-4	Bemidji	Beltrami	1336	534	738	1324	40.33	55.74	-15
BEMIDJI W-5	Bemidji	Beltrami	1593	639	911	1589	40.21	57.33	-17
BENVILLE TWP	Benville Twp	Beltrami	42	20	22	42	47.62	52.38	-5
BIRCH TWP	Birch Twp	Beltrami	67	35	28	65	53.85	43.08	11
BLACKDUCK	Blackduck	Beltrami	292	146	135	289	50.52	46.71	4
BUZZLE TWP	Buzzle Twp	Beltrami	167	83	73	162	51.23	45.06	6
CORMANT TWP	Cormant Twp	Beltrami	75	48	22	74	64.86	29.73	35
DURAND TWP	Durand Twp	Beltrami	98	52	44	98	53.06	44.9	8
ECKLES TWP	Eckles Twp	Beltrami	675	364	293	672	54.17	43.6	11
FROHN TWP	Frohn Twp	Beltrami	834	420	384	828	50.72	46.38	4
FUNKLEY	Funkley	Beltrami	4	4	0	4	100	0	100
GRANT VALLEY TWP	Grant Valley Twp	Beltrami	1062	539	495	1058	50.95	46.79	4
HAGALI TWP	Hagali Twp	Beltrami	186	109	68	182	59.89	37.36	23
HAMRE TWP	Hamre Twp	Beltrami	6	1	5	6	16.67	83.33	-67
HINES TWP	Hines Twp	Beltrami	355	213	130	354	60.17	36.72	23
HORNET TWP	Hornet Twp	Beltrami	96	62	32	95	65.26	33.68	32
JONES TWP	Jones Twp	Beltrami	116	83	27	114	72.81	23.68	49
KELLIHER	Kelliher	Beltrami	133	61	61	129	47.29	47.29	0
KELLIHER TWP	Kelliher Twp	Beltrami	66	30	31	63	47.62	49.21	-2
LAMMERS TWP	Lammers Twp	Beltrami	291	186	99	289	64.36	34.26	30
LANGOR TWP	Langor Twp	Beltrami	106	74	28	105	70.48	26.67	44
LEE TWP	Lee Twp	Beltrami	19	11	5	19	57.89	26.32	32
LIBERTY TWP	Liberty Twp	Beltrami	355	195	151	352	55.4	42.9	13
MAPLE RIDGE TWP	Maple Ridge Twp	Beltrami	57	20	31	56	35.71	55.36	-20
MINNIE TWP	Minnie Twp	Beltrami	19	6	10	19	31.58	52.63	-21
MOOSE LAKE TWP	Moose Lake Twp	Beltrami	128	78	43	128	60.94	33.59	27
NEBISH TWP	Nebish Twp	Beltrami	160	63	87	159	39.62	54.72	-15
NORTHERN TWP P 01	Northern Twp	Beltrami	2458	1311	1080	2453	53.44	44.03	9
NORTHERN TWP P 02	Northern Twp	Beltrami	34	25	9	34	73.53	26.47	47
'O''BRIEN TWP'	Obrien Twp	Beltrami	33	23	9	33	69.7	27.27	42
PONEMAH PREC	Lower Red Lake Unorganized	Beltrami	396	1	385	388	0.26	99.23	-99
PORT HOPE TWP	Port Hope Twp	Beltrami	413	234	174	413	56.66	42.13	15
QUIRING TWP	Quiring Twp	Beltrami	33	16	11	33	48.48	33.33	15
RED LAKE AGENCY PREC	Lower Red Lake Unorganized	Beltrami	851	17	826	850	2	97.18	-95
REDBY PREC	Lower Red Lake Unorganized	Beltrami	623	15	606	621	2.42	97.58	-95
LITTLE ROCK	Lower Red Lake Unorganized	Beltrami	357	6	348	357	1.68	97.48	-96
ROOSEVELT TWP	Roosevelt Twp	Beltrami	136	60	71	136	44.12	52.21	-8
SHOOKS TWP	Shooks Twp	Beltrami	84	67	14	83	80.72	16.87	64
SHOTLEY TWP	Shotley Twp	Beltrami	30	10	18	30	33.33	60	-27
SOLWAY	Solway	Beltrami	45	30	15	45	66.67	33.33	33
SPRUCE GROVE TWP	Spruce Grove Twp	Beltrami	40	15	24	40	37.5	60	-22
STEENERSON TWP	Steenerson Twp	Beltrami	18	12	6	18	66.67	33.33	33
SUGAR BUSH TWP	Sugar Bush Twp	Beltrami	116	59	52	114	51.75	45.61	6
SUMMIT TWP	Summit Twp	Beltrami	156	128	25	155	82.58	16.13	66
TAYLOR TWP	Taylor Twp	Beltrami	62	38	24	62	61.29	38.71	23
TEN LAKE TWP	Ten Lake Twp	Beltrami	492	142	347	492	28.86	70.53	-42
TENSTRIKE	Tenstrike	Beltrami	99	49	49	99	49.49	49.49	0
TURTLE LAKE TWP	Turtle Lake Twp	Beltrami	808	447	343	806	55.46	42.56	13
TURTLE RIVER	Turtle River	Beltrami	57	25	31	56	44.64	55.36	-11
TURTLE RIVER TWP	Turtle River Twp	Beltrami	734	341	377	729	46.78	51.71	-5
UNORG DIST 1	North Beltrami Unorganized	Beltrami	13	4	9	13	30.77	69.23	-38
UNORG DIST 2	Shotley Brook Unorganized	Beltrami	17	5	12	17	29.41	70.59	-41
UNORG DIST 3	Brook Lake Unorganized	Beltrami	97	48	47	96	50	48.96	1
WASKISH TWP	Waskish Twp	Beltrami	64	37	26	64	57.81	40.63	17
WILTON	Wilton	Beltrami	100	46	46	99	46.46	46.46	0
WOODROW TWP	Woodrow Twp	Beltrami	44	26	18	44	59.09	40.91	18
ALBERTA TWP	Alberta Twp	Benton	418	260	142	415	62.65	34.22	28
FOLEY	Foley	Benton	1158	655	452	1144	57.26	39.51	18
GILMAN	Gilman	Benton	118	63	47	116	54.31	40.52	14
GILMANTON TWP	Gilmanton Twp	Benton	438	292	125	435	67.13	28.74	38
GLENDORADO TWP	Glendorado Twp	Benton	434	288	128	430	66.98	29.77	37
GRAHAM TWP	Graham Twp	Benton	306	217	81	303	71.62	26.73	45
GRANITE LEDGE TWP	Granite Ledge Twp	Benton	377	264	100	377	70.03	26.53	44
LANGOLA TWP	Langola Twp	Benton	568	374	180	567	65.96	31.75	34
MAYHEW LAKE TWP	Mayhew Lake Twp	Benton	476	298	166	474	62.87	35.02	28
MAYWOOD TWP	Maywood Twp	Benton	507	313	176	503	62.23	34.99	27
MINDEN TWP P-1	Minden Twp	Benton	979	651	298	978	66.56	30.47	36
MINDEN TWP P-2	Minden Twp	Benton	4	0	2	2	0	100	-100
RICE	Rice	Benton	837	483	307	826	58.47	37.17	21
ROYALTON	Royalton	Benton	0	0	0	0			
ST CLOUD W2 P1	St. Cloud	Benton	980	445	489	975	45.64	50.15	-5
ST CLOUD W2 P3	St. Cloud	Benton	1005	377	584	1001	37.66	58.34	-21
ST CLOUD W2 P4	St. Cloud	Benton	750	252	449	742	33.96	60.51	-27
ST GEORGE TWP	St. George Twp	Benton	633	436	185	633	68.88	29.23	40
SARTELL P-2	Sartell	Benton	1048	557	454	1042	53.45	43.57	10
SAUK RAPIDS P-1	Sauk Rapids	Benton	1221	617	564	1214	50.82	46.46	4
SAUK RAPIDS P-2	Sauk Rapids	Benton	1197	582	563	1187	49.03	47.43	2
SAUK RAPIDS P-3	Sauk Rapids	Benton	1597	866	685	1583	54.71	43.27	11
SAUK RAPIDS P-4	Sauk Rapids	Benton	1218	589	578	1205	48.88	47.97	1
SAUK RAPIDS P-5	Sauk Rapids	Benton	1380	748	600	1376	54.36	43.6	11
SAUK RAPIDS P-6	Sauk Rapids	Benton	0	0	0	0			
SAUK RAPIDS TWP	Sauk Rapids Twp	Benton	331	202	124	330	61.21	37.58	24
WATAB TWP	Watab Twp	Benton	1775	1020	694	1761	57.92	39.41	19
